its my job	é o meu trabalho
start again	comece de novo
youre late	você está atrasado
be serious	fiquem sérios
get some rest	descansem um pouco
tomll talk	tom irá falar
im now	eu tenho anos agora
all is still	tudo está quieto
id buy that	eu compraria aquilo
i like milk	eu gosto de leite
watch this	observem isto
theyre in	elas estão dentro
nice timing	na mosca
i belong here	meu lugar é aqui
im kidding	eu estou brincando
they saw tom	ele viram tom
pick that up	pegue aquele
ill do this	eu vou fazer isso
im better	eu sou melhor
i understand	eu entendo
i do want it	quero muito
i loved you	ameio
i was lost	eu estava perdido
its toms	é do tom
call security	chamem a segurança
now i get it	agora eu entendi
youre cute	você é bonita
can you drive	vocês sabem dirigir
it was a bet	era uma aposta
we need them	nós precisamos delas
here i am	aqui estou
anything new	algo de novo
im your age	tenho a sua idade
tom took it	o tom pegou
dont go away	não vá embora
is he busy	ele está ocupado
were sorry	nos desculpe
they voted	elas votaram
is it cancer	é câncer
its a steal	é um roubo
are you blind	você é cego
ill go home	eu vou para casa
i do like you	eu gosto de você de verdade
i pay taxes	eu pago os impostos
hold the rope	segurem a corda
im bald	sou careca
is it toms	isso é do tom
seize him	agarreo
who did it	quem o fez
is it bad	é grave
i will work	eu vou trabalhar
lighten up	relaxa
i walk fast	eu ando rápido
stop trying	parem de tentar
run	corra
try again	tente de novo
i hate rats	eu odeio ratos
tom will die	tom vai morrer
you must eat	você deve comer
do your best	faça o seu melhor
is it there	está lá
is he tom	ele é o tom
i want one	eu quero um
kiss me	beijeme
i have twins	eu tenho gêmeos
let me alone	me deixa quieto
ask mary out	chame a mary para sair
was i wrong	eu estava errado
tom is sad	tom está triste
i am a nurse	eu sou enfermeiro
pardon me	o que você disse
ask tom	peça para o tom
how far is it	quão distante é
of course	pois sim
im bluffing	estou blefando
they walked	caminharam
i had doubts	eu tinha dúvidas
im adopted	eu sou adotado
we all know	todos nós sabemos
is it good	é bom
lets try it	vamos tentar
it was worse	foi pior
please stay	por favor fique
help us	nos ajude
stop tom	impeçam o tom
im starving	estou faminto
who came	quem veio
i fooled tom	eu enganei tom
come anytime	venha a qualquer hora
ill kill it	eu o matarei
get dressed	vistamse
he seems kind	ele parece ser gentil
i was wet	eu estava molhada
ask anybody	pergunte a alguém
i can make it	posso fazêlo
im ugly	sou feio
tom said yes	o tom disse que sim
keep it	fique com ela
ask around	pergunte por aí
hang on	aguardem
i took a cab	eu peguei um táxi
were saved	estamos salvos
youre old	os senhores são velhos
im at home	estou em casa
im horrible	sou horrível
tom wants it	tom quer isso
i was bored	eu estava entediado
they waited	eles esperaram
toms stoned	tom está chapado
im puzzled	eu estou intrigado
whos here	quem está aqui
thats a lot	é muito
im working	estou trabalhando
theyre boys	são meninos
youll do it	vocês vão fazer
well start	nós vamos começar
i had to go	tive que ir
nobody slept	ninguém dormiu
hes very ill	ele está muito doente
can tom cook	o tom sabe cozinhar
i have news	tenho novidades
it scares me	isso me assusta
this is gold	isso é ouro
i hope i win	eu espero que eu ganhe
anybody hurt	alguém machucado
i got mad	eu fiquei furioso
im not bald	não sou careca
get away	cai fora
i dont mind	eu não ligo
trust tom	confie em tom
get out	saia daqui
he looks pale	ele parece pálido
stop yelling	para de gritar
do you drink	você bebe
are you ok	você está bem
go find tom	vai encontrar tom
take it	peguemno
im upset	estou chateado
tom said yes	tom disse sim
my eyes hurt	doemme os olhos
are you well	você está bem
hurry up	apressate
they laughed	eles riram
hes asleep	está adormecido
its a curse	é uma maldição
fish please	peixe por favor
i got hit	fui atingido
he loves her	ele a ama
tom is in	tom está dentro
im stuck	eu estou presa
it was here	estava aqui
is it for me	isso é para mim
see you soon	até logo
dogs bark	cães latem
answer me	respondamme
toms dying	tom está morrendo
do you smoke	você fuma
tom is dying	tom está morrendo
i am here	eu estou aqui
i saw a ufo	eu vi um objeto voador não identificado
what a woman	que mulher
thats cruel	isso é cruel
settle down	acalmese
tom promised	tom prometeu
what a day	que dia
hes coming	ele está chegando
tom came	tom veio
tom shot her	tom atirou nela
i eat here	eu como aqui
go away	vá embora
we love tom	nós amamos o tom
im thirsty	tenho sede
grab my hand	segure a minha mão
have fun	divirtamse
they called	eles ligaram
stand aside	afastese
im with tom	eu estou com o tom
im done	já terminei
they escaped	eles escaparam
i wont die	não vou morrer
you survived	você sobreviveu
its for you	isso é para você
i sympathize	me simpatizo
i live alone	eu moro sozinho
mary giggled	maria deu risadinhas
stop that	pare com isso
you go first	tu primeiro
itll happen	isso irá acontecer
you may stay	o senhor pode ficar
tom liked it	tom gostou
think again	pensa de novo
tom sweated	tom suava
i dont agree	eu discordo
were calm	estamos calmos
welcome	seja bemvindo
look back	olhem para trás
theyll fail	eles fracassarão
we forgot	esquecemos
join us	juntese a nós
how wonderful	que maravilha
tom vanished	tom desapareceu
be objective	seja objetivo
tom got mad	tom ficou furioso
youre lucky	você é sortudo
i found it	encontrei
how are you	quem és tu
who drew it	quem desenhou
tom is lazy	tom é preguiçoso
we know that	sabemos disso
go to sleep	vá dormir
marry me	case comigo
turn right	dobre à direita
i talked	eu falei
do i look fat	eu pareço gorda
is it blue	é azul
were hungry	estamos famintos
goodbye	até a vista
hes strong	ele é forte
did tom call	tom ligou
are you sure	você tem certeza
were free	estamos livres
toms fast	tom é rápido
sleep tight	durma bem
well go out	vamos sair
step aside	afastese
well cook	nós cozinharemos
all aboard	todos a bordo
toms asleep	o tom está dormindo
were lost	estamos perdidas
go for it	vá em frente
wake up	acordem
sit there	sentese aí
ask tom	peça ao tom
dont laugh	não ria
am i wrong	estou errado
i had help	eu tive ajuda
im trapped	estou preso
they gave up	eles desistiram
lets see it	vamos ver
i am all ears	sou todo ouvidos
dont be late	não se atrase
thank you	obrigada
im trapped	eu estou presa
im fat	eu sou gorda
tom walked	tom caminhou
he kissed her	ele a beijou
its broken	está quebrado
were ready	nós estamos prontos
were coming	nós estamos vindo
tom is next	tom é o próximo
dont move	não se mexa
well shoot	nós vamos atirar
dont sing	não cante
it was dark	estava escuro
tell me more	conteme mais
im dyslexic	eu sou disléxico
it was night	era noite
i phoned him	liguei para ele
i was good	eu era bom
i nailed it	está no papo
tom will go	tom irá
be serious	fica sério
wonderful	que maravilha
does it work	isso funciona
shut it down	desliga
anything else	mais alguma coisa
i fired tom	eu demiti tom
how barbaric	que bárbaro
i know tom	eu conheço o tom
were armed	nós estamos armados
it will burn	isso vai queimar
it hurts	isso machuca
theyre ugly	eles são feios
im next	sou a próxima
stay focused	mantenhase focado
you may stay	podes ficar
i cried today	eu chorei hoje
listen	escutem
im bald	estou careca
i feel sick	sintome mal
can tom drive	tom sabe dirigir
follow him	sigamno
i need mine	preciso da minha
who am i	quem sou eu
tom is weird	o tom está estranho
im reserved	eu sou reservado
it is my cat	é o meu gato
i resign	eu me demito
you may stay	podem ficar
theyre gone	elas foram embora
it is dusty	está empoeirado
tom crashed	tom sofreu um acidente
fire	fogo
help me	me ajuda
i am happy	eu estou feliz
she smiled	ela sorriu
i went twice	eu fui duas vezes
come get some	venha pegar algumas
hey relax	ei relaxa
im a hero	sou um herói
dont be evil	não seja mau
find tom	encontrem o tom
cut it out	para com isso
stop tom	pare o tom
im curious	eu sou curiosa
leave me	me deixa
i smiled	dei um sorriso
leave us	nos deixe
why me	por que eu
im with tom	estou com o tom
youre nuts	estás maluco
please stay	fique por favor
i agreed	eu concordo
warn tom	alerte o tom
lets split	vamos dividir
birds sing	pássaros cantam
who are they	quem são elas
are they tall	elas são altas
its a tv	isso é uma tv
i got mad	fiquei furioso
well start	vamos começar
ive won	eu venci
we are men	nós somos homens
run	corram
who ran away	quem fugiu
lets party	vamos festejar
well done	bom trabalho
anybody home	tem alguém em casa
he wont know	ele não vai saber
youre fair	você é justo
stop it	para com isso
are you	você tem anos de idade
i am smart	eu sou inteligente
i want one	eu quero uma
theyll call	eles vão chamar
ask them	pergunte para eles
tom enlisted	tom se alistou
go to school	vá para a escola
its done	está pronto
its over	acabou
go to school	vai à escola
pardon me	perdão
we promised	prometemos
tom is nuts	tom está com um parafuso solto
be creative	sede criativos
well start	nós começaremos
shes pretty	é bonita
smile	sorriam
i studied	eu estudei
heres	aqui estão
im fat	sou gordo
wonderful	magnífico
you hurt me	você me machucou
come off it	desista
is tom ok	o tom está bem
open up	abra
tom can talk	tom sabe falar
have some	peguem um pouco
what else	o que mais
i set a trap	eu coloquei uma armadilha
he likes tea	ele gosta de chá
be prepared	esteja preparada
i love bread	eu amo pão
im hurt	estou ferido
they are big	elas são grandes
i am coming	eu estou vindo
ill get ice	eu vou pegar gelo
i have a cat	eu tenho um gato
are you well	vocês estão bem
i am coming	eu estou chegando
i need sugar	preciso de açúcar
check that	verifique isso
set tom free	liberte tom
ill get ice	vou pegar gelo
where is he	onde ele está
be merciless	seja piedosa
i laughed	eu ri
is it yours	isso é seu
were rich	nós somos ricos
its a steal	isso é um roubo
its my book	este é meu livro
time is up	o tempo acabou
ive failed	eu fracassei
its ok	está bem
youre old	tu és velha
im retired	eu estou aposentado
ask anybody	perguntem a alguém
were happy	nós somos felizes
tea please	chá por favor
i was robbed	eu fui roubado
tom is old	o tom é velho
im sorry	lamento
tomll speak	tom vai falar
dont wait	não espere
youre next	você é o próximo
i hate chess	eu detesto o xadrez
wake up	acorde
its so sad	é tão triste
tom winked	o tom piscou
tom wants it	tom quer
pray for me	rezem por mim
keep it up	continua
drive faster	dirija rápido
can i help	posso dar uma mãozinha
i cant fly	não consigo voar
see you	nos vemos
you may stay	você pode ficar
im alone	estou sozinho
i need space	preciso de espaço
come in	entre
wait a while	esperem um momento
are they dead	eles estão mortos
theyre evil	eles são maus
goodbye	até logo
i have proof	eu tenho prova
kiss me	dême um beijo
years passed	passaram os anos
how do you do	como vai
has she come	ela veio
stay still	não se mova
please hurry	por favor apressemse
let me out	deixeme sair
thatll do	isso vai servir
goodbye	até o rever
we miss you	sentimos saudades de você
is tom in	o tom está dentro
dont scream	não grite
here she is	aqui está ela
tom is a spy	o tom é espião
i love golf	eu adoro golfe
answer me	respondame
its poison	é veneno
we apologize	nós desculpamos
thank you	obrigado
i teach here	eu leciono aqui
many thanks	muito obrigada
stand up	levantese
youre shy	você está tímido
go home	vá para casa
go without me	vá sem mim
tom is picky	tom é exigente
stand by	aguardem
say cheese	sorria
are you free	está livre
youre old	os senhores estão velhos
ill shoot	eu vou atirar
she tried	ela tentava
im decisive	sou decisivo
cheer up	ânimo
now leave me	agora me deixe
come over	venha
toms angry	tom está nervoso
i hope i win	eu espero que eu vença
youre fired	você está despedido
i am a cook	eu sou cozinheiro
attack	ataquem
cut it out	parem com isso
hug tom	abrace o tom
im thirty	eu tenho trinta anos
look back	olhem para trás
was it cold	era frio
hold the door	segure a porta
it was tom	era o tom
toms hungry	tom está com fome
hang on	aguarde
youre shy	vocês estão tímidas
its cool	é legal
go away	vá embora
dont smile	não sorrias
youre cute	o senhor é bonito
come out here	vem aqui
let me try	deixeme tentar
do as he says	faz como ele diz
did tom come	tom veio
how deep	qual a profundidade
go inside	entra
we laughed	nós rimos
hes cruel	ele é cruel
are you tired	vocês estão cansadas
can you hear	consegue ouvir
im not in	não estou dentro
i need that	eu preciso disso
be discreet	sê discreta
i cry easily	eu choro facilmente
i should go	eu deveria ir embora
i read a lot	eu leio muito
toms skiing	tom está esquiando
its stupid	isso é estúpido
are they gone	eles se foram
are you tired	vocês estão cansados
take cover	protejamse
im not rich	eu não estou rico
im angry	estou com raiva
i can swim	eu sei nadar
did tom go	o tom foi
ill leave	vou embora
go away	fora
im free now	eu estou livre agora
its nothing	isso não é nada
tom is pushy	tom é agressivo
we found one	nós encontramos um
do you get me	você me compreende
hi	oi
i do hope so	realmente espero
theyre kids	elas são crianças
im right	eu estou certo
ill do that	farei isto
help us	ajudenos
hes lying	ele mente
i said maybe	eu disse talvez
i need a map	preciso de um mapa
tom burped	tom arrotou
what is love	o que é o amor
shut up	calem a boca
im a vegan	eu sou vegano
lets begin	comecemos
dont worry	não se preocupe
is this love	isso é o amor
i like that	eu gosto disso
leave it	deixe para lá
tom is witty	tom é espirituoso
you won	você venceu
toms not in	tom não está dentro
tom was sad	o tom estava triste
im freezing	estou congelando
i was there	eu estava lá
forget it	esquece
i like rice	eu gosto de arroz
i whistled	eu assobiei
thats cool	isso é legal
tom is there	o tom está lá
ignore them	ignoremnas
come back now	agora volte
tom called	tom ligou
wash up	lave as mãos
i need a bag	preciso de uma bolsa
stop tom	parem o tom
wait outside	espere lá fora
its his	é dele
im hungry	estou com fome
watch this	olhe isso
i go to work	vou ao trabalho
im tall	eu sou alto
can you swim	sabes nadar
i want tom	eu quero o tom
it is	são sete e quarenta e cinco
keep quiet	fique quieta
im in perth	estou em perth
keep walking	continuem caminhando
we apologize	desculpamos
im innocent	eu sou inocente
i wont bite	não irei morder
i stopped	eu parei
got it	eu entendi
ill pay	eu pagarei
well stand	nós estaremos de pé
call us	ligue para a gente
tom told him	tom contou para ele
we are happy	somos felizes
i love rock	eu gosto de rock
drop it	solteo
dont sing	não cantes
youre old	vocês são velhos
turn it over	vire ao contrário
im thirsty	estou sedento
tom has it	o tom tem isso
i am single	sou solteiro
abandon ship	abandonar o navio
its a tv	é uma tv
well attack	nós vamos atacar
dont leave	não saia
could we sit	poderíamos sentar
wholl drive	quem vai dirigir
thats tom	esse é o tom
grab him	agarremno
i am a man	eu sou homem
i left	eu saí
im a father	eu sou um pai
i am online	eu estou online
i hate opera	eu odeio ópera
i cried	eu chorei
can i hug you	posso abraçálo
have another	tomem outra
i have a son	tenho filho
i looked	eu olhei
stop talking	pare de falar
i shoved tom	eu empurrei o tom
we had fun	nós nos divertimos
ill see tom	eu verei o tom
tom fired me	o tom me despediu
i made a bet	eu fiz uma aposta
keep working	continuem trabalhando
im tidy	estou arrumado
i may win	eu posso ganhar
im thirsty	estou com sede
how are you	como você está
im naive	eu sou ingênuo
mary is mine	mary é minha
come quickly	vem logo
i need a job	preciso de um trabalho
dont move	não se mova
help	ajuda
im thinking	estou pensando
ive decided	decidi
stay down	fiquem abaixados
i missed you	senti saudade
its done	está pronta
its too far	isto está longe demais
are you sure	tem certeza
i felt that	eu senti aquilo
thats me	sou eu
they yelled	eles gritaram
they swam	eles nadaram
this is it	é isso
beef please	carne por favor
tom cried	tom chorou
i prayed	eu orei
i need you	eu preciso de vocês
birds fly	os pássaros voam
go away	se manda
burn the body	queime o corpo
here we are	eisnos aqui
i see	estou vendo
we are arabs	somos árabes
i am full	estou cheio
you may swim	pode nadar
i have ocd	eu tenho toc
lets start	vamos começar
talk to tom	conversa com o tom
ill be late	eu vou me atrasar
please hurry	despachemse por favor
is this mine	essa é minha
im tidy	eu estou arrumado
dont mind me	não ligue para mim
we like it	nós gostamos
im afraid	estou com medo
i know you	eu te conheço
tom woke up	tom acordou
i like chess	gosto de xadrez
everyone dies	todo mundo morre
i will help	eu vou ajudar
what a jerk	que idiota
bring my hat	traga o meu chapéu
they kissed	eles se beijaram
i feel sick	estou mal
thats true	isso é verídico
i have a son	eu tenho um filho
youve won	você ganhou
he is english	ele é inglês
he runs fast	ele corre rápido
tom is home	tom está em casa
im escaping	eu estou fugindo
are you a fan	você é um fã
i hate rules	eu odeio regras
hows tom	como tom está
am i included	eu estou incluído
write me	escrevame
theyre here	elas estão aqui
toms crying	tom está chorando
stop here	pare aqui
im not old	eu não sou velho
tomll come	tom virá
i am chinese	eu sou chinês
dont argue	não discuta
are we alone	nós estamos sozinhos
were happy	somos felizes
they danced	dançaram
act your age	aja de acordo com a sua idade
i confessed	eu confessei
i cant win	eu não consigo vencer
they know us	elas nos conhecem
cain was evil	cain era mau
its me	sou eu
seriously	é sério
i agree	eu estou de acordo
recess ended	o recreio terminou
tom is my ex	tom é meu ex
you go first	você primeiro
take mine	pegue a minha
he sells cars	ele vende carros
i like china	eu gosto da china
bring it here	traga isso aqui
im not free	não estou livre
listen up	escute
i didnt lie	eu não menti
be objective	sejam objetivos
ill go back	eu voltarei
dont ask me	não me pergunte
whos next	quem é o próximo
ill cook	cozinharei
hang on tight	segurem firme
its a plant	é uma planta
hurry up	apressese
i was happy	eu era feliz
dont laugh	não ria
we want it	nós queremos isso
dont rush me	não me empurre
tom told us	tom nos contou
i love rock	eu amo rock
i do like you	eu gosto muito de vocês
tom is nuts	tom tem um parafuso solto
turn around	dê uma volta
is tom busy	tom está ocupado
wow	uau
i saw him	eu o vi
i can wait	eu posso esperar
tell tom why	diga a tom o porquê
forget it	deixa
try some	experimentem
we trust him	confiamos nele
who	quem
i overslept	eu dormi demais
im broke	estou sem dinheiro
he kicked it	ele o chutou
we talked	nós conversamos
be patient	tenha paciência
who listened	quem escutou
he needs you	ele precisa de você
ill do this	vou fazer
dont worry	não se preocupe
keep out	não entre
tom has left	tom foi embora
i bribed them	eu os subornei
dont respond	não respondas
we know	nós sabemos
shut it off	desligueo
did tom cry	o tom chorou
ignore them	ignoreos
i know	eu sei
toms groggy	tom está grogue
hold on to me	segurese em mim
be tolerant	sejam tolerantes
help me	me ajuda
follow me	sigame
tom changed	tom mudou
do i know tom	eu conheço tom
get down	abaixese
im prepared	estou preparado
its okay	está bem
tom fought	tom lutou
drop it	largue isso
hug tom	abracem o tom
toms asleep	tom está dormindo
trust in me	confia em mim
here or to go	é pra comer aqui ou para levar
youre nuts	estás maluco
can i do this	posso fazer isso
come soon	venha logo
we waited	esperamos
get up	levantese
come quickly	vem logo
he walks fast	ele anda rápido
stay focused	se mantenha focado
be discreet	sede discretos
its fine	está bem
did we win	vencemos
he stood up	ele se levantou
he was crying	ele estava a chorar
you may stay	a senhora pode ficar
i got fired	eu fui demitido
i got lost	eu me perdi
all is well	está tudo bem
dont ask	não pergunte
pray for me	reze por mim
she cried	ela chorou
are you tall	você é alta
its ok	está tudo bem
are you crazy	estás louco
is tom there	o tom está lá
they waited	esperaram
tom saw them	tom viu eles
walk slowly	ande devagar
i forgot it	me esqueci disso
tom told me	tom me disse
i suppose so	suponho que sim
hi everybody	olá pessoal
let me see	deixame ver
come inside	entrem
dont push me	não me empurre
he is heroic	ele é heroico
he has guts	ele tem culhão
i ate apples	eu comi maçãs
let me die	deixemme morrer
the tvs on	a televisão está ligada
tom has time	tom tem tempo
i have plans	eu tenho planos
im in bed	estou na cama
toms strong	tom é forte
i can feel it	posso sentila
i can run	eu posso correr
i am a monk	sou um monge
im jealous	eu sou ciumento
you are ugly	você é feia
i understand	entendo
youre old	vocês estão velhos
are you happy	você está feliz
tom is fine	o tom está bem
try it	tentao
well wait	esperaremos
tom is tired	o tom está cansado
i yawned	eu bocejei
its new	isso está novo
how are you	como vai
who told you	quem lhe contou
sit down	sentese
keep it	fiquem com ele
well see	nós veremos
im correct	eu tenho razão
are you hurt	você está ferido
we can do it	podemos fazer isso
can tom walk	o tom sabe andar
i ran home	corri para casa
i needed tom	eu precisava de tom
keep writing	continue escrevendo
ill try	tentarei
they said no	eles disseram que não
are you a fan	tu és um fã
youre lost	você está perdido
come in	entre
youre cute	a senhora é bonita
were tired	nós estamos cansados
what is it	o que é
i need a car	eu preciso de um carro
you may swim	podem nadar
im crazy	estou bravo
can i do this	consigo fazer isso
cool down	acalmese
youre fired	você está despedida
tom lies	tom mente
theyre kids	são crianças
you scare me	vocês me assustam
youre right	você está certo
i dont read	eu não leio
thanks	obrigado
im going	já vou
ghosts exist	fantasmas existem
i found it	encontreia
answer tom	responda ao tom
ask tom	pergunta para o tom
im blind	eu sou cega
it will work	vai funcionar
have another	toma outra
im confused	estou confuso
i am hungry	estou faminto
stay with us	fique conosco
go find tom	vai achar o tom
i need a job	eu preciso de um trabalho
i found you	eu encontrei você
have another	tome outra
tom quit	tom desistiu
never mind	tudo bem
is tom here	tom está aqui
tom sighed	tom suspirou
im hot	estou com calor
i built it	eu o construí
tom gasped	tom arfou
we watch pbs	assistimos pbs
help tom	ajuda o tom
open the box	abre a caixa
theyll grow	eles crescerão
look there	olha lá
hes a sexist	ele é sexista
we were busy	nós estávamos ocupados
im inside	eu estou dentro
well share	nós vamos compartilhar
i like fruit	eu gosto de frutas
mary is tall	mary é alta
abandon ship	abandonar o navio
wait in here	espere aqui
im not ugly	não sou feio
i hate sand	eu odeio areia
we won	nós vencemos
i see that	estou vendo
im a woman	sou mulher
i feel tired	sintome cansado
no way	impossível
were weak	nós estamos fracos
i want soup	eu quero sopa
keep it	fica com ela
she is old	ela é velha
choose one	escolha uma
it was toms	era de tom
we surrender	nós desistimos
ill sue you	eu vou te processar
tom can win	tom pode ganhar
look closely	olhe de perto
im faster	eu sou mais rápida
i feel dizzy	estou tonto
be careful	toma cuidado
dont leave	não saia
im not done	eu ainda não estou pronto
take a rest	descansem
youre sick	você está doente
its a gift	é um presente
tom vomited	o tom vomitou
i apologize	perdão
he ate out	ele comeu fora
be sensible	tende bom senso
i blinked	eu pisquei
be fair	sê justo
i need space	eu preciso de espaço
i will wait	irei esperar
im drunk	estou embriagado
do you mind	você se importa
tom agreed	tom concordou
im drunk	estou bêbada
take mine	pegue o meu
once again	mais uma vez
am i hired	estou contratado
its monday	é segundafeira
thats mine	isso é meu
get up	levantate
i whistled	eu dei um assobio
turn it off	desligueo
whats up	e aí
take it all	leve tudo
tom yelled	tom gritou
come tomorrow	venha amanhã
i ran	eu corri
i am tired	estou cansado
i didnt care	eu não me importo
youre shy	vocês são tímidas
must i hurry	devo me apressar
come to us	venha até nós
do fish sleep	os peixes dormem
stop them	detenhanos
it is unfair	isso é injusto
have a look	dá uma vista de olhos
i won	eu venci
is this cool	isto é legal
im with tom	estou com tom
get serious	fique sério
dont push	não empurrem
ill stay	eu vou ficar
years passed	anos se passaram
i like snow	eu gosto de neve
war is hell	a guerra é um inferno
we miss tom	sentimos saudades do tom
you must go	tu deves partir
i was wrong	eu estava errado
stop lying	pare de mentir
why not	por que não
go inside	entre
i disagree	eu discordo
will he die	ele morrerá
im horrible	eu estou horrível
he was alone	ele estava só
sit tight	peraí
were calm	nós somos tranquilos
this is mine	isto é meu
stay here	fique aqui
look at him	olhe para ele
im punctual	sou pontual
tom listened	tom escutou
i was hired	eu fui contratado
tom hates tv	tom detesta tv
im rich	eu sou rico
tom shaved	tom barbeouse
it may rain	pode chover
im furious	estou furiosa
have a cookie	come um biscoito
whats new	que há de novo
im a doctor	sou médico
dont fight	não lute
he is french	ele é francês
ask an expert	pergunte a um especialista
i said yes	disse sim
you are ugly	você é feio
toms sick	tom está doente
can i hug you	posso te dar um abraço
i want that	eu quero isso
im so bored	estou muito entediado
hes happy	ele é feliz
im wealthy	eu sou rico
dont risk it	não se arrisque
dont get mad	não fique bravo
she is lucky	ela tem sorte
toms crazy	o tom é louco
i handled it	eu lidei com isso
im sleeping	estou dormindo
go ahead	continua
hes stupid	ele é estúpido
unbelievable	inacreditável
hows the dog	como o cachorro está
toms deaf	tom é surdo
come home	venha para casa
do you agree	vocês concordam
tom drowned	tom se afogou
let me leave	deixeme ir embora
tom voted	tom votou
i fear so	eu temo que sim
we all cried	todos nós choramos
ive done it	eu o fiz
is tom out	o tom está fora
dont rush me	não me empurrem
i found it	encontrei
nice shot	belo tiro
hey relax	ei relaxem
weve won	vencemos
im cool	sou legal
watch this	veja isto
im mature	eu sou maturo
ill call	ligarei
tom swore	tom jurou
youre scary	tu és assustador
how are you	como vai você
listen	ouça isso
i went too	eu fui também
tom is on tv	tom está na tv
i can cook	eu posso cozinhar
wait outside	esperem lá fora
well go out	nós vamos sair
did tom help	o tom ajudou
hello girls	olá meninas
stay cool	fique calmo
tom is a pig	tom é um porco
i was fired	eu fui demitido
kiss me	me beije
come over	vem
follow tom	sigam o tom
im involved	estou envolvido
well win	nós venceremos
work slowly	trabalhe devagar
were free	somos livres
please sit	por favor sentemse
he is drunk	ele está bêbado
ill do this	eu vou fazer
you fainted	vocês desmaiaram
keep calm	acalmese
you idiot	seu idiota
he resigned	ele renunciou
how wonderful	maravilhoso
thats mine	é meu
come here	vem cá
i bit my lip	eu mordo o lábio
were dating	estamos namorando
they escaped	escaparam
he cant swim	ele não sabe nadar
run and hide	corra e escondase
i love you	eu te amo
hes wet	ele está molhado
theyre gone	elas se foram
stay with us	fiquem conosco
who is she	quem é ela
they hate me	elas me odeiam
does tom know	tom sabe
we survived	sobrevivemos
stay calm	fique calma
save tom	salve o tom
i love cats	adoro gatos
wood burns	a madeira queima
try it on	experimenteo
do as i asked	faça como eu pedi
he has come	ele veio
aim fire	preparar apontar fogo
i wont lose	eu não vou perder
drive safely	dirija com cuidado
lets review	vamos revisar
be realistic	seja realista
hurry up tom	apressese tom
its free	é de graça
i hate this	eu odeio isto
they came in	eles entraram
come over	venham
i like rice	gosto de arroz
youre kind	você é simpático
youre shy	vocês são tímidos
i am in pain	estou com dor
sign this	assinem isso
toms young	o tom é jovem
come along	vem com a gente
flowers bloom	flores florescem
beware of dog	cuidado com o cão
go ahead	continuem
are you crazy	você é louco
theyre evil	elas são más
this is big	isto é grande
i almost won	eu quase ganhei
come with us	venha com a gente
tom is happy	tom está feliz
i waved	eu acenei
i have a car	eu tenho um carro
my jaw hurts	minha mandíbula dói
tom decided	tom decidiu
watch tom	olha o tom
well obey	nós obedeceremos
go ahead	continue
ill pay you	eu vou te pagar
i will try	eu vou tentar
dont move	não se mexa
unbelievable	incrível
im ready	estou pronta
it stinks	isso fede
im old	eu sou velho
ignore him	ignoreo
that was odd	foi estranho
ill try it	eu vou tentar
is this tom	este é tom
toms angry	tom está com raiva
vote for me	vote em mim
were lazy	nós somos preguiçosas
lets swim	vamos nadar
ill decide	decidirei
its for me	isso é para mim
be tolerant	sê tolerante
come with me	venha comigo
look out	atenção
its hers	isso é dela
is this mine	esse é o meu
hang on tight	segurese firme
tom teaches	tom ensina
i need help	preciso de ajuda
are you upset	você está triste
youve won	você venceu
leave town	deixe a cidade
i dont care	não estou nem aí
im popular	eu sou popular
this is hard	isto é difícil
youre wrong	você está errado
hes smart	ele é inteligente
keep back	afastese
hey dont go	ei não vá
excuse me	com licença
everyone wins	todo mundo sai ganhando
dont be long	não demore
i love her	eu a amo
stay down	fique abaixado
lets play	vamos tocar
bring the key	traga a chave
did tom fall	o tom caiu
youre gross	você é nojento
i did my best	eu fiz o meu melhor
you may stay	pode ficar
taste this	provem isto
fight or die	lute ou morra
ill pay you	irei te pagar
its open	está aberto
i tripped	tropecei
are you brave	você é corajoso
can he do it	ele sabe fazer isso
dont push me	não me empurra
thanks	obrigado
is this true	é verdade
you need me	vocês precisam de mim
tom hates it	o tom odeia isso
i met a girl	eu conheci uma garota
tom is short	o tom é baixo
nobody died	ninguém morreu
let me speak	deixeme falar
come closer	cheguem mais perto
its red	é vermelho
could i do it	eu poderia fazer isso
its done	pronto já está
i need a hug	preciso de um abraço
this is nice	isso é legal
tom is rich	tom é rico
i am busy	estou ocupado
is it a wolf	isso é um lobo
we sat down	nos sentamos
tom grinned	tom sorriu forçadamente
tom escaped	tom escapou
well sing	cantaremos
tomll know	tom vai saber
speak up	falem mais alto
i cant sleep	não consigo dormir
how absurd	que absurdo
im back	voltei
no kidding	sem brincadeira
where is she	cadê ela
ill get up	vou me levantar
im out here	estou aqui fora
tomll lose	tom vai perder
come anytime	venha quando quiser
we got ready	nós nos preparamos
is this ok	está ok
was tom busy	tom estava ocupado
im a farmer	sou um fazendeiro
dont do it	não faça isso
how cute	que fofinho
i will learn	vou aprender
do you drink	vocês bebem
i hope so	assim espero
this is easy	isto é fácil
youre cute	as senhoras são bonitas
itll work	isso vai funcionar
how cute	que bonitinho
tom is calm	tom é calmo
i need money	necessito de dinheiro
sweet dreams	bons sonhos
were sleepy	nós estamos com sono
try hard	se esforça
he was alone	ele estava sozinho
boys run fast	os meninos correm rápido
i need a job	eu preciso de um emprego
can you swim	sabe nadar
i am working	eu estou trabalhando
cool down	acalmemse
pick it up	apanheo
toms ugly	tom é feio
we know why	sabemos por quê
